Pair,CT_Signal,MT_Signal,LT_Signal,Combined,Direction,Confiance,Sizing,Hurst,Regime,abs_combined
AUDJPY,+0.000,+0.245,+0.196,+0.125,LONG,12%,3.1%,0.320,BULL,0.125
AUDUSD,+0.000,+0.147,+0.068,+0.065,LONG,7%,1.6%,0.315,BULL,0.065
EURGBP,+0.000,+0.069,-0.046,+0.015,FLAT,1%,0.4%,0.383,NEUTRAL,0.015
EURJPY,+0.000,-0.149,+0.140,-0.024,FLAT,2%,0.6%,0.300,NEUTRAL,0.024
EURUSD,+0.000,-0.044,+0.010,-0.013,FLAT,1%,0.3%,0.420,BULL,0.013
GBPUSD,+0.000,+0.192,+0.057,+0.079,LONG,8%,2.0%,0.433,NEUTRAL,0.079
NZDJPY,+0.000,+0.099,+0.188,+0.072,LONG,7%,1.8%,0.313,NEUTRAL,0.072
NZDUSD,+0.000,+0.138,+0.063,+0.061,LONG,6%,1.5%,0.426,BULL,0.061
USDCAD,+0.000,+0.040,+0.027,+0.019,FLAT,2%,0.5%,0.461,NEUTRAL,0.019
USDCHF,+0.000,-0.001,-0.005,-0.001,FLAT,0%,0.0%,0.421,BEAR,0.001
USDJPY,+0.000,+0.057,+0.128,+0.046,FLAT,5%,1.1%,0.387,BEAR,0.046
USDMXN,+0.000,+0.229,-0.184,+0.043,FLAT,4%,1.1%,0.340,BEAR,0.043
USDNOK,+0.000,-0.178,-0.110,-0.084,SHORT,8%,2.1%,0.406,BEAR,0.084
USDSEK,+0.000,+0.129,+0.025,+0.050,FLAT,5%,1.2%,0.375,BEAR,0.05
USDTRY,-0.032,-0.173,-0.290,-0.133,SHORT,13%,3.3%,0.437,BULL,0.133
USDZAR,+0.000,-0.128,-0.212,-0.087,SHORT,9%,2.2%,0.329,BEAR,0.087
