feature,IC_mean,IC_std,IC_IR,pct_positive
MACD_Clean,0.0344366932795826,0.033685705436016185,1.0222939621968987,0.75
Return_Clean_5d,0.05742182784015454,0.07230192062179933,0.7941950552118753,0.75
Return_Clean_1d,0.05361032812098117,0.10694239070700533,0.5013010067061218,0.6875
RealizedVol_63d,0.006546794189700825,0.029673853980095744,0.2206250052349857,0.5625
Fractal_Dimension,0.006904228842490141,0.06246745896190433,0.11052520715946959,0.5
Hurst_Prediction,-8.730550850485387e-05,0.053456991656700564,-0.001633191576988238,0.5625
RealizedVol_21d,-0.002567557738179599,0.055023024662147396,-0.04666333328538239,0.5625
Hurst,-0.006904228842490141,0.06246745896190433,-0.11052520715946959,0.5
ATR_14,-0.0066079086627328434,0.04480668667743275,-0.14747594952297535,0.375
Renyi_Entropy,-0.012678853261910376,0.028758921269119716,-0.4408667885441332,0.375
Shannon_Entropy,-0.015597798837048944,0.027484648078625624,-0.5675094981179368,0.375
Return_1d,-0.041734623711065774,0.059586188804644724,-0.7004076707757583,0.125
Momentum_3m,-0.044794002982986185,0.04135602793697704,-1.0831311713796188,0.1875
Return_5d,-0.06054972678511135,0.04278077821183284,-1.415348886018248,0.125
Momentum_CS,-0.049497005390821434,0.0318677859539149,-1.553198752571037,0.0
SMA_63,-0.06663225696873713,0.03745960726085227,-1.778776176288751,0.0
RSI,-0.08819990131699816,0.041995984299474765,-2.1001984544055863,0.0
MACD,-0.0698553892841958,0.03246780427492977,-2.151527978075656,0.0
Bollinger_Pct,-0.09187511201195595,0.040352370631927516,-2.2768206817386516,0.0
Return_21d,-0.06541662261175513,0.025151872973548588,-2.6008648612591068,0.0
SMA_21,-0.10616305716340362,0.04073768725732157,-2.606015812650815,0.0
